library_name,folder_path,ref_type,ref_name,ref_id,href
TVSM_Library,CAMERA_LIBRARY,Standard.Sequence,Golden_Data_Capture,{B379088E-7D7D-4ED4-8BD4-CB17BF83C5D5},TVSM_Library@adlx\Golden_Data_Capture.blkx
TVSM_Library,CAMERA_LIBRARY,MainLibrary.Exec,CAMERA_SETTING,{417C2C29-510F-402C-BEA6-ED07495AC68B},TVSM_Library@adlx\CAMERA_SETTING.blkx
TVSM_Library,CAMERA_LIBRARY,MainLibrary.Exec,IMAGE_CAPTURE,{44EAF292-766D-45D4-9B0B-DA8027C5356B},TVSM_Library@adlx\IMAGE_CAPTURE.blkx
TVSM_Library,CAMERA_LIBRARY,MainLibrary.Exec,VERIFY_PATTERN,{36BC57C3-AE65-4B81-8D8B-C84E3D3EB1DC},TVSM_Library@adlx\VERIFY_PATTERN.blkx
TVSM_Library,CAMERA_LIBRARY,MainLibrary.Serial,CHECK_ANIMATION_THROUGH_CAMERA,{29617513-F835-416B-966A-ACA3EA2A1034},TVSM_Library@adlx\CHECK_ANIMATION_THROUGH_CAMERA.blkx
TVSM_Library,CAMERA_LIBRARY,MainLibrary.Serial,CHECK_CLUSTER_THROUGH_CAMERA_PATTERN,{AB1F8C91-7A4D-4B81-B15B-BEFAB3EE37C8},TVSM_Library@adlx\CHECK_CLUSTER_THROUGH_CAMERA_PATTERN.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,Preconditions_Fuel,{1EAE28DF-82AB-438B-B8AB-15EFCA1ED369},TVSM_Library@adlx\Preconditions_Fuel.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_KILL_SWITCH_ON,{326A2D92-59EC-4E9B-9F06-4457B825DB39},TVSM_Library@adlx\SET_CHECK_KILL_SWITCH_ON.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_TRACTION_CONTROL_ON,{9B9AC7BC-7E29-41AA-A1DA-696750A75E8C},TVSM_Library@adlx\SET_CHECK_TRACTION_CONTROL_ON.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_TRACTION_CONTROL_OFF,{FA8582A7-2052-4CCC-8CA9-78984218E651},TVSM_Library@adlx\SET_CHECK_TRACTION_CONTROL_OFF.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_RSD_ON,{6B5B0D58-24BA-47D2-91D8-69C7C95E1D13},TVSM_Library@adlx\SET_CHECK_RSD_ON.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_RSD_OFF,{8D5A9D30-8914-4786-9155-40F5B493CD1E},TVSM_Library@adlx\SET_CHECK_RSD_OFF.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_BATT_ON,{F6C0806B-552C-44BD-99C8-C0B8FC732DF8},TVSM_Library@adlx\SET_CHECK_BATT_ON.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_BATT_OFF,{ABCD478C-9F48-428D-91F5-C70A798F58F4},TVSM_Library@adlx\SET_CHECK_BATT_OFF.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_BRAKE_OFF,{FD2619AE-46CD-496C-B786-FC8E71DC8E26},TVSM_Library@adlx\SET_CHECK_BRAKE_OFF.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_BRAKE_ON,{8D302B74-EABC-4B3A-B4D7-D9A952E8AFFF},TVSM_Library@adlx\SET_CHECK_BRAKE_ON.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_CLUTCH_ON,{FF31318E-75A4-4245-B1A3-EE46F0C58C48},TVSM_Library@adlx\SET_CHECK_CLUTCH_ON.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_CLUTCH_OFF,{772D4B73-2093-4F19-8D7F-82D4D325FA5C},TVSM_Library@adlx\SET_CHECK_CLUTCH_OFF.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_IGN_ON,{AC498635-700E-4390-B1DB-B60555784614},TVSM_Library@adlx\SET_CHECK_IGN_ON.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_IGN_OFF,{60C9910B-41A2-4BAA-9015-E2E10570C2C1},TVSM_Library@adlx\SET_CHECK_IGN_OFF.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_SIDESTAND_UP,{E1A655D4-8D73-4DF0-8610-6D9AA395217F},TVSM_Library@adlx\SET_CHECK_SIDESTAND_UP.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,SET_CHECK_SIDESTAND_DOWN,{2C5086E6-879E-4544-AD12-FA773B1F531D},TVSM_Library@adlx\SET_CHECK_SIDESTAND_DOWN.blkx
TVSM_Library,PRECONDITIONS,MainLibrary.Serial,CHECK_SPEED,{E1AE4229-E5DB-4EB6-8D8F-D8BFE91C8A77},TVSM_Library@adlx\CHECK_SPEED.blkx
